Source,Link,Header,Content,Article Date,Scrape Date
Times of India,https://timesofindia.indiatimes.com/india/protesting-farmers-to-start-marching-towards-delhi-from-today/articleshow/108251012.cms,Protesting farmers to start marching towards Delhi from today,"PATIALA: Farmers' organisations will start marching towards Delhi on Wednesday to press their various demands to the central government. Their various demands to the central government include a legal guarantee on Minimum Support Price (MSP) for crops, pension for farmers and farm labourers, farm debt waiver, and no hike in electricity tariffs. ""Tomorrow, on March 6, farmers from all over India will march peacefully towards Jantar Mantar in Delhi,"" farmer leader Tejveer Singh told reporters at Shambhu Border on Tuesday. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday He said that farmers from various states made their arrangements for marching to the national capital. ""Farmers from Madhya Pradesh , Rajasthan and Bihar have made all preparations to move to Delhi for the march,"" Singh added. Meanwhile, Delhi Police has beefed up the security at the Tikri, Singhu and Ghazipur borders, and railway and metro stations and bus stands in view of the farmers' protest march. The farmers also called for a four-hour countrywide 'rail roko' on March 10. The Samyukta Kisan Morcha (SKM) national body has given a call for the Mahapanchayat in Delhi on March 14 to highlight issues of a legal guarantee of MSP, against the electricity amendment bill, freedom from debt, old age pension, rolling back of labour codes, and other pending issues. Giving a call to march to Delhi, the farmers have been camping at multiple points in areas bordering the national capital since February 13 along with their tractors, mini-vans, and pickup trucks, demanding, among others, a law guaranteeing MSP (minimum support price) and withdrawal of police cases against farmers during earlier protests. During the last round of talks, which ended past midnight on February 18, the panel of three Union ministers made an offer to buy five crops -- moong dal, urad dal, tur dal, maize, and cotton -- from farmers at MSP for five years through central agencies. However, the protesting farmers turned down the demand and returned to their protest sites.","Mar 6, 2024, 07:15 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/india/inflation-reached-double-digit-growth-in-congress-regime-our-govt-contained-it-below-5-amit-shah/articleshow/108260422.cms,"Inflation reached double-digit growth in Congress regime, our govt contained it below 5%: Amit Shah","MUMBAI: Union home minister Amit Shah on Wednesday said their government contained the inflation below 5 per cent while it had reached double-digit growth during the Congress-led UPA regime. Before 2014, the Indian economy was fragile, inflation was high and fiscal deficit was beyond control, Shah said at the India Global Forum's annual investment summit NXT10 in Mumbai. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday Today, India has emerged as a policy-driven state, he said. ""We are approaching elections with our government's performance of last 10 years and roadmap of next 25 years,"" the Union minister said ahead of the upcoming Lok Sabha polls. Lauding Prime Minister Narendra Modi as a visionary PM, Shah said that by 2047, when the country celebrates its centenary of independence, Bharat will be completely developed, atmanirbhar (self-reliant) and among the top three economies in the world. ""Bharat is a self-confident and self-reliant country, which has transformed itself from a dormant to a dynamic government, from regressive to progressive growth, and from a fragile economy to a top economy,"" Shah said. The progress made in the last 10 years should be compared with the previous UPA government's decade, he said. ""Unless you do not know how deep the pothole was, you cannot understand the progress we achieved,"" the senior BJP said. ""Inflation reached double-digit growth during the Congress-led UPA regime; our government has contained it below 5 per cent. The country's confidence was shaken due to various scams of Rs 12 lakh crore during the UPA's tenure, crony capitalism was at its peak,"" he said.","Mar 6, 2024, 12:58 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/india/modi-modi-jai-shri-ram-pm-modi-welcomed-by-huge-crowd-of-supporters-in-kolkata/articleshow/108258649.cms,"‘Modi, Modi’, ‘Jai shri Ram’: PM Modi welcomed by huge crowd of supporters in Kolkata","NEW DELHI: Prime Minister Narendra Modi on Wednesday received a warm welcome from a crowd of supporters in Kolkata, with loud cheers of 'Modi Modi' and ' Jai Shree Ram .' After inaugurating India's first underwater metro PM Modi was seen interacting with school students and metro staff. PM Modi was accompanied by BJP president Sukanta Majumdar and LoP Suvendu Adhikari. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday During his visit PM Modi inaugurated India's first under-river metro tunnel in Kolkata, which is a part of Kolkata Metro extension, specifically the Howrah Maidan-Esplanade Metro section. This groundbreaking section includes the first transportation tunnel in India to pass under a major river, showcasing both technological prowess and the strategic importance of connecting two bustling areas of Kolkata, thereby enhancing the efficiency and reach of the city's public transportation network. PM Modi also inaugurated the Kavi Subhash - Hemanta Mukhopadhyay Metro section and the Taratala - Majerhat Metro section, part of the Joka-Esplanade line. The latter features the Majerhat Metro Station, an architectural marvel as an elevated station spanning railway lines, platforms, and a canal, showcasing an innovative approach to improving urban mobility. The inauguration event extended beyond Kolkata, as PM Modi also flagged off several other important projects across the country. These include the Pune Metro's stretch from Ruby Hall Clinic to Ramwadi, the Kochi Metro Rail Phase I Extension from SN Junction Metro station to Tripunithura Metro station, and the Agra Metro's stretch from Taj East Gate to Mankameshwar, along with the Esplanade Metro in Kolkata. PM Modi is on a three-day visit to states including Telangana, Tamil Nadu, Odisha, West Bengal and Bihar from March 4 to 6.","Mar 6, 2024, 12:41 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/sports/cricket/wpl/wpl-mumbai-indians-shabnim-ismail-bowls-the-fastest-delivery-in-womens-cricket/articleshow/108251820.cms,WPL: Mumbai Indians' Shabnim Ismail bowls the fastest delivery in women's cricket,"NEW DELHI: Former South African pace bowler Shabnim Ismail etched her name in the annals of cricket history on Tuesday by bowling the fastest delivery ever recorded in women's cricket . Ismail achieved this milestone during a Women's Premier League (WPL) match in India, representing the Mumbai Indians against the Delhi Capitals at the Arun Jaitley Stadium . In a remarkable display of speed and skill, Ismail's right-arm thunderbolt breached the 130km/h barrier, clocking an astounding speed of 132.1km/h (82.08mph). Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday The delivery, which rattled the stumps of former Australia captain Meg Lanning , marked the first time a delivery in women's cricket had exceeded the 130km/h mark. Ismail, renowned as the fastest bowler in the women's game, had previously recorded speeds of 128km/h (79.54mph) against the West Indies in 2016 and 127km/h twice during the ICC Women's Cricket World Cup in 2022. Despite retiring from international cricket following last year's ICC Women's T20 World Cup, Ismail's fiery pace continues to captivate cricket enthusiasts worldwide. With a distinguished international career spanning 16 years, Ismail represented South Africa in 127 ODIs, 113 T20Is, and a solitary Test match. Amassing a total of 317 international wickets, including 191 scalps in ODIs and 123 in T20Is, Ismail's bowling prowess has left an indelible mark on the sport. When questioned about her record-breaking feat in a post-match interview, Ismail humbly downplayed her achievement, stating, ""I do not actually look at the big screen when I am bowling."" Despite Ismail's remarkable performance, her efforts were overshadowed by Mumbai Indians' defeat to the Delhi Capitals by 29 runs. Chasing a target of 193, Mumbai Indians struggled to keep pace, ultimately finishing their innings at 163/8. With this win, Delhi Capitals ascended to the top of the points table with four wins in five games, accumulating eight points. Mumbai Indians, on the other hand, occupy the third position with three wins in five games, totaling six points. (With inputs from ANI)","Mar 6, 2024, 08:34 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/india/pm-modi-meets-women-who-alleged-sexual-assault-by-sheikh-shahjahan-in-sandeshkhali/articleshow/108265030.cms,PM Modi meets women who alleged sexual assault by Sheikh Shahjahan in Sandeshkhali,"NEW DELHI: Prime Minister Narendra Modi on Wednesday met with women who have accused suspended Trinamool Congress leader Sheikh Shahjahan of sexual assault in Sandeshkhali . The Prime Minister met them following a public rally at Barasat in North 24 Parganas district where Sandeshkhali is located. ""Prime Minister Narendra Modi met women victims from Sandeshkhali. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday They put forward their ordeal and PM heard them patiently like a father figure. The victims were very emotional with the fact that PM Modi understood their pain,"" according to BJP sources. Sandeshkhali has been in turmoil since several women came forward with allegations of sexual assault against Sheikh Shahjahan and his associates. Earlier today, PM Modi accused the Trinamool Congress (TMC) government of shielding the accused in the Sandeshkhali case and said that it is a ""matter of shame."" Speaking at a women's rally in Barasat, PM Modi emphasized BJP's commitment to women's empowerment and safety. ""Under TMC's rule, the women of this land have been tortured. Whatever happened in Sandeshkhali will put anyone to shame but the TMC government does not care about your issues. TMC government is hell-bent on saving the perpetrator. Their acts were first condemned by the High Court and then the Supreme Court as well. TMC leaders have committed atrocities on the women of the state. Leaders of TMC are torturing the women from poor, Dalit, and Adivasis groups. TMC govt trusts its leaders more than it trusts the women of Bengal. TMC has full confidence in their leader but not in the women of West Bengal,"" the Prime Minister said. Meanwhile, Shahjahan was apprehended by the West Bengal Police on February 29 after evading authorities for over 50 days. Following his arrest, the TMC suspended Shahjahan from the party for six years.","Mar 6, 2024, 15:27 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/indian-premier-league-2024-mini-auction-complete-players-list-by-all-ipl-teams/articleshow/106116049.cms,2024 IPL Teams Players List: Who got whom,"NEW DELHI: Australian pace bowler Mitchell Starc shattered Indian Premier League (IPL) auction records on Tuesday as the Kolkata Knight Riders (KKR) secured his services for an unprecedented Rs 24.75 crore. BLOG: IPL AUCTION 2024 The 33-year-old Starc is set to make a comeback to the IPL after an eight-year hiatus, with his previous stint being with the Royal Challengers Bangalore (RCB). Starc outbid his fellow Australian Pat Cummins, the World Cup-winning captain, who held the new record for one hour before going to Sunrisers Hyderabad (SRH) for a whopping sum of Rs 20.50 crore. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday Rajasthan Royals (RR) initiated the bidding for the West Indian power-hitter Rovman Powell, sparking a heated contest with the Kolkata Knight Riders (KKR). After a fierce back-and-forth, Royals ultimately secured Powell's services, sealing the deal at a substantial Rs 7.40 crore at the Indian Premier League (IPL) 2024 auction in Dubai. Powell, originally listed with a base price of Rs 1 crore, had been released by the Delhi Capitals , but his fortunes took a remarkable turn as he struck gold with this lucrative agreement. England's Harry Brook, who was bought by SRH for 13.25 crore in the last auction, has now been picked up by Delhi Capitals for Rs 4 crore. Australia's World Cup final hero Travis Head sold to Sunrisers Hyderabad for Rs 6.8 crore. Punjab Kings, Delhi Capitals and Chennai Super Kings went after NZ's Rachin Ravindra, but the defending champions got the services of the all-rounder for Rs 1.8 crore. Chennai bought New Zealand allrounder Daryl Mitchell for an enormous price of Rs 14 crore. CSK also acquired Shardul Thakur for Rs 4 crore. The Punjab Kings have a valuable buy in the form of Harshal Patel for a whopping price of Rs 11.75 crore. Uncapped Indian Sameer Rizvi went to CSK for a big amount of Rs 8.40 crore. Here are the updated squads of all the teams: Mumbai Indians : Rohit Sharma, Dewald Brevis, Suryakumar Yadav, Ishan Kishan, Tilak Verma, Tim David, Vishnu Vinod, Arjun Tendulkar, Hardik Pandya (c) (Traded), Shams Mulani, Nehal Wadhera, Jasprit Bumrah, Kumar Kartikeya, Piyush Chawla, Akash Madhwal, Jason Behrendorff, Romario Shepherd, Gerald Coetzee, Dilshan Madushanka, Shreyas Gopal, Nuwan Thushara, Naman Dhir, Anshul Kamboj, Mohammad Nabi, Shivalik Sharma Chennai Super Kings: MS Dhoni (c) (wk), Moeen Ali, Deepak Chahar, Devon Conway (wk), Tushar Deshpande, Shivam Dube, Ruturaj Gaikwad, Rajvardhan Hangargekar, Ravindra Jadeja, Ajay Mandal, Mukesh Choudhary, Matheesha Pathirana, Ajinkya Rahane, Shaik Rasheed, Mitchell Santner, Simarjeet Singh, Nishant Sindhu, Prashant Solanki, Maheesh Theekshana, Rachin Ravindra, Shardul Thakur, Daryl Mitchell, Sameer Rizvi, Mustafizur Rahman, Avanish Rao Aravelly Gujarat Titans: Shubman Gill (c), David Miller, Matthew Wade, Wriddhiman Saha, Kane Williamson, Abhinav Manohar, B. Sai Sudharsan, Darshan Nalkande, Vijay Shankar, Jayant Yadav, Rahul Tewatia, Mohammed Shami, Noor Ahmad, R. Sai Kishore, Rashid Khan, Joshua Little, Mohit Sharma, Azmatullah Omarzai, Umesh Yadav, Shahrukh Khan, Sushant Mishra, Kartik Tyagi, Manav Suthar, Spencer Johnson, Robin Minz Delhi Capitals: Rishabh Pant (c), Pravin Dubey, David Warner, Vicky Ostwal, Prithvi Shaw, Anrich Nortje, Abishek Porel, Kuldeep Yadav, Axar Patel, Lungi Ngidi, Lalit Yadav, Khaleel Ahmed, Mitchell Marsh, Ishant Sharma, Yash Dhull, Mukesh Kumar, Harry Brook, Tristan Stubbs, Ricky Bhui, Kumar Kushagra, Rasikh Dar, Jhye Richardson, Sumit Kumar, Shai Hope, Swastik Chhikara Lucknow Super Giants: KL Rahul (c), Quinton de Kock, Nicholas Pooran, Ayush Badoni, Kyle Mayers, Marcus Stoinis, Deepak Hooda, Ravi Bishnoi, Naveen-ul-Haq, Krunal Pandya, Yudhvir Singh, Prerak Mankad, Yash Thakur, Amit Mishra, Mark Wood, Mayank Yadav, Mohsin Khan, Devdutt Padikkal (Traded), Shivam Mavi, Arshin Kulkarni, M Siddharth, Ashton Turner, David Willey, Mohd. Arshad Khan Rajasthan Royals: Sanju Samson (c) (wk), Jos Buttler, Shimron Hetmyer, Yashasvi Jaiswal, Dhruv Jurel, Riyan Parag, Donovan Ferreira, Kunal Rathore, Ravichandran Ashwin, Kuldeep Sen, Navdeep Saini, Prasidh Krishna, Sandeep Sharma, Trent Boult, Yuzvendra Chahal, Adam Zampa, Avesh Khan (Traded), Rovman Powell, Shubham Dubey, Tom Kohler-Cadmore, Abid Mushtaq, Nandre Burger Sunrisers Hyderabad: Abdul Samad, Abhishek Sharma, Aiden Markram (c), Marco Jansen, Rahul Tripathi, Washington Sundar, Glenn Phillips, Sanvir Singh, Heinrich Klaasen, Bhuvneshwar Kumar, Mayank Agarwal, T Natarajan, Anmolpreet Singh, Mayank Markande, Upendra Singh Yadav, Umran Malik, Nitish Kumar Reddy, Fazalhaq Farooqi, Shahbaz Ahmed (Traded), Travis Head, Wanindu Hasaranga, Pat Cummins, Jaydev Unadkat, Akash Singh, Jhathavedh Subramanyan Royal Challengers Bangalore: Faf du Plessis (c), Glenn Maxwell, Virat Kohli, Rajat Patidar, Anuj Rawat, Dinesh Karthik, Suyash Prabhudessai, Will Jacks, Mahipal Lomror, Karn Sharma, Manoj Bhandage, Mayank Dagar (Traded), Vyshak Vijay Kumar, Akash Deep, Mohammed Siraj, Reece Topley, Himanshu Sharma, Rajan Kumar, Cameron Green (Traded), Alzarri Joseph, Yash Dayal, Tom Curran, Lockie Ferguson, Swapnil Singh, Saurav Chuahan Punjab Kings: Shikhar Dhawan (c), Matthew Short, Prabhsimran Singh (wk), Jitesh Sharma (wk), Sikandar Raza, Rishi Dhawan, Liam Livingstone, Atharva Taide, Arshdeep Singh, Nathan Ellis, Sam Curran, Kagiso Rabada, Harpreet Brar, Rahul Chahar, Harpreet Bhatia, Vidwath Kaverappa, Shivam Singh, Harshal Patel, Chris Woakes, Ashutosh Sharma, Vishwanath Pratap Singh, Shashank Singh, Tanay Thyagarajann, Prince Choudhary, Rilee Rossouw Kolkata Knight Riders: Nitish Rana, Rinku Singh, Rahmanullah Gurbaz, Shreyas Iyer (c), Jason Roy, Sunil Narine, Suyash Sharma, Anukul Roy, Andre Russell, Venkatesh Iyer, Harshit Rana, Vaibhav Arora, Varun Chakaravarthy, KS Bharat, Chetan Sakariya, Mitchell Starc, Angkrish Raghuvanshi, Ramandeep Singh, Sherfane Rutherford, Manish Pandey, Mujeeb Ur Rahman, Gus Atkinson, Sakib Hussain Here's the list of the players sold during the IPL auction (ALL PRICES ARE IN INR): PLAYERS COUNTRY TEAMS BASE PRICE SOLD FOR Rovman Powell WI RR 1 crore 7.40 crore Harry Brook England DC 2 crore 4.00 crore Travis Head Australia SRH 2 crore 6.80 crore Wanindu Hasaranga SL SRH 1.5 crore 1.50 crore Rachin Ravindra NZ CSK 50 lakh 1.80 crore Shardul Thakur India CSK 2 crore 4.00 crore Azmatullah Omarzai Afghanistan GT 50 lakh 50.00 lakh Pat Cummins Australia SRH 2 crore 20.50 crore Gerald Coetzee SA MI 2 crore 5.00 crore Harshal Patel India PBKS 2 crore 11.75 crore Daryl Mitchell NZ CSK 1 crore 14.00 crore Chris Woakes England PBKS 2 crore 4.20 crore Tristan Stubbs SA DC 50 lakh 50 lakh KS Bharat India KKR 50 lakh 50 lakh Chetan Sakariya India KKR 50 lakh 50 lakh Alzarri Joseph WI RCB 1 crore 11.50 crore Umesh Yadav India GT 2 crore 5.80 crore Shivam Mavi India LSG 50 lakh 6.40 crore Mitchell Starc Australia KKR 2 crore 24.75 crore Jaydev Unadkat India SRH 50 lakh 1.60 crore Dilshan Madushanka SL MI 50 lakh 4.60 crore Shubham Dubey India RR 20 lakh 5.80 crore Sameer Rizvi India CSK 20 lakh 8.40 crore Angkrish Raghuvanshi India KKR 20 lakh 20 lakh Arshin Kulkarni India LSG 20 lakh 20 lakh Shahrukh Khan India GT 40 lakh 7.40 crore Ramandeep Singh India KKR 20 lakh 20 lakh Tom Kohler-Cadmore England RR 40 lakh 40 lakh Ricky Bhui India DC 20 lakh 20 lakh Kumar Kushagra India DC 20 lakh 7.20 crore Yash Dayal India RCB 20 lakh 5.00 crore Sushant Mishra India GT 20 lakh 2.20 crore Akash Singh India SRH 20 lakh 20 lakh Kartik Tyagi India GT 20 lakh 60 lakh Rasikh Dar India DC 20 lakh 20 lakh Manav Suthar India GT 20 lakh 20 lakh M Siddharth India LSG 20 lakh 2.40 crore Shreyas Gopal India MI 20 lakh 20 lakh Sherfane Rutherford WI KKR 1.5 crore 1.50 crore Ashton Turner Australia LSG 1 crore 1.00 crore Tom Curran England RCB 1.5 crore 1.50 crore David Willey England LSG 2 crore 2.00 crore Spencer Johnson Australia GT 50 lakh 10.00 crore Mustafizur Rahman Bangladesh CSK 2 crore 2.00 crore Jhye Richardson Australia DC 1.5 crore 5.00 crore Nuwan Thushara SL MI 50 lakh 4.80 crore Naman Dhir India MI 20 lakh 20 lakh Anshul Kamboj India MI 20 lakh 20 lakh Sumit Kumar India DC 20 lakh 1.00 crore Ashutosh Sharma India PBKS 20 lakh 20 lakh Vishwanath Pratap Singh India PBKS 20 lakh 20 lakh Shashank Singh India PBKS 20 lakh 20 lakh Tanay Thyagarajann India PBKS 20 lakh 20 lakh Robin Minz India GT 20 lakh 3.60 crore Prince Choudhary India PBKS 20 lakh 20 lakh Jhathavedh Subramanyan India SRH 20 lakh 20 lakh Manish Pandey India KKR 50 lakh 50 lakh Rilee Rossouw SA PBKS 2 crore 8.00 crore Lockie Ferguson NZ RCB 2 crore 2.00 crore Mujeeb Ur Rahman Afghanistan KKR 2 crore 2.00 crore Mohd. Arshad Khan India LSG 20 lakh 20 lakh Mohammad Nabi Afghanistan MI 1.5 crore 1.50 crore Shai Hope WI DC 75 lakh 75 lakh Gus Atkinson England KKR 1 crore 1.00 crore Swastik Chhikara India DC 20 lakh 20 lakh Abid Mushtaq India RR 20 lakh 20 lakh Shivalik Sharma India MI 20 lakh 20 lakh Swapnil Singh India RCB 20 lakh 20 lakh Avanish Rao Aravelly India CSK 20 lakh 20 lakh Nandre Burger SA RR 50 lakh 50 lakh Sakib Hussain India KKR 20 lakh 20 lakh Saurav Chuahan India RCB 20 lakh 20 lakh","Dec 25, 2023, 18:45 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/india/ex-judge-move-casts-cloud-on-his-orders-wb-govt-to-move-sc/articleshow/108249871.cms,'Ex-judge move casts cloud on his orders': WB govt to move SC,"KOLKATA: Bengal govt and TMC general secretary Abhishek Banerjee are likely to file separate appeals in SC saying former Calcutta HC judge Abhijit Gangopadhyay ’s move to don political colours have “cast a cloud” on all his judgments. The appeals could allege that Gangopadhyay’s directions were not judicial orders but “a targeted attack on a political party, state agencies and its officials” in an attempt to “mar their reputation and embroil them in false and frivolous cases” in run-up to Lok Sabha polls, sources said. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday Sources in state govt and Trinamool said they have started taking legal advice. Legal counsel for state and Banerjee, Sanjay Basu, said in a statement: “A perusal of orders (passed by Gangopadhyay) in past two years, by pawing on jurisdiction of state police to investigate matters within its jurisdiction, allowing CBI and ED probes, (shows it) was done to garner mileage to launch his political career and to ensure everyone in state knows of him, while continuing to make scandalous remarks.” Basu did not spell out a time-frame but indicated that top court filings will take place “soon”. As per sources, state and Abhishek — in his personal capacity — will file applications on pending writ petitions being heard by SC against Gangopadhyay’s judgments. The petition will try to impress on SC that directions against the Trinamool leader and, in some cases govt, were “illegal and perverse”.","Mar 6, 2024, 12:39 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/india/sandeshkhali-case-west-bengal-seeks-urgent-listing-of-plea-in-supreme-court-against-probe-transfer-to-cbi/articleshow/108260524.cms,Shahjahan Sheikh custody battle: Calcutta HC sets new deadline for Bengal govt to handover Sandeshkhali accused to CBI,"NEW DELHI: Calcutta high court on Wednesday set a new deadline for the West Bengal government to hand over Sandeshkhali accused Shahjahan Sheikh to Central Bureau of India (CBI), even as the Mamata Banerjee govt approached the Supreme Court (SC) for an urgent hearing on the matter. The court directed Trinamool government to hand over Sheikh to CBI by 4.15 pm on Wednesday. Top Picks For You Accused in land grab, rape, TMC leader Shahjahan Sheikh arrested, CID probe initiated After the HC order, a CBI team reached police headquarters in Kolkata to take custody of the arrested TMC leader. The HC had on Tuesday set a deadline, which was not adhered to by the state government as it had approached the SC to challenge the order. Earlier today, the West Bengal government again requested an urgent listing of its plea against the HC order in the SC . The plea was mentioned before a bench consisting of Justices Sanjiv Khanna and Dipankar Datta by senior advocate Abhishek Singhvi, representing the West Bengal government. Khanna explained, ""You move an application. The Chief Justice of India takes note of urgent listing applications during lunch hour. He will order the listing of the plea."" Singhvi stated that CBI wants immediate compliance with the HC order by transferring the investigation to them. The bench had instructed the state government counsel to present the matter before the registrar general of the SC. Both the ED and the WB government have filed separate appeals in the HC, challenging a single bench order. This order, issued on January 17, called for the formation of a joint Special Investigation Team (SIT), comprised of the CBI and the state police, to investigate the mob attack on ED officials. ED wants the probe to be solely transferred to CBI, while the state government requests that the investigation be handed over to its police. The HC, while agreeing to the ED's request, directed that TMC leader Sheikh, who was arrested by the state police on February 29 in connection with the attack, be handed over to the central agency. Accused in land grab, rape, TMC leader Shahjahan Sheikh arrested, CID probe initiated","Mar 6, 2024, 16:26 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/india/pm-modi-inaugurates-indias-first-underwater-metro-in-kolkata/articleshow/108256483.cms,PM Modi inaugurates India's first underwater metro in Kolkata,"NEW DELHI: Prime Minister Narendra Modi on Wednesday inaugurated India's first underwater metro services, an engineering marvel in itself. The Howrah Maidan-Esplanade section, a groundbreaking addition to the metropolitan transportation network, is acclaimed as India's first metro tunnel beneath a significant river. This underwater marvel, situated beneath the Hooghly River that divides Kolkata and Howrah, boasts the country's deepest metro station, the Howrah Metro station. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday The completion of a trial journey in April 2023 marked a significant milestone for the Kolkata Metro, navigating a tunnel 32 meters below the water level. The concept of an underwater transportation system, akin to London's, was initially proposed by the British in 1921, according to researchers. The 4.8-km stretch of the East-West Metro from Howrah Maidan to Esplanade, built at a cost of Rs 4,965 crore, is a testament to engineering ingenuity and a historic advancement in India's metro infrastructure. PM Modi interacts with school students and metro staff Prime Minister Narendra Modi was seen enjoying his journey in metro with some school students in Kolkata. The students sat in India's first underwater metro train at Mahakaran metro station. Earlier, expressing her excitement, a school student Pragya said, “I am very excited to meet PM Modi and travel with him on the underwater metro."" PM Modi was seen interacting with school students and metro staff as they travelled . The PM was accompanied by West Bengal BJP president Sukanta Majumdar and state LoP and BJP MLA Suvendu Adhikari here. The Prime Minister was welcomed by a huge crowd and people were seen chanting 'Jai Shri Ram' and 'Modi Modi' at Esplanade metro station, in Kolkata.","Mar 6, 2024, 14:22 IST","Mar 06, 2024, 17:09 IST"
Times of India,https://timesofindia.indiatimes.com/india/rameshwaram-cafe-blast-nia-announces-cash-reward-of-rs-10-lakh-for-info-on-bomber/articleshow/108266348.cms,Rameshwaram cafe blast: NIA announces cash reward of Rs 10 lakh for info on bomber,"NEW DELHI: The National Investigation Agency ( NIA ) has announced a cash reward of Rs. 10 lakh for any information regarding the bomber responsible for the Rameshwaram Cafe blast in Bengaluru. The NIA said the identity of the informant will be kept confidential. ""NIA announces a cash reward of Rs. 10 lakh for information about the bomber in the Rameshwaram Cafe blast case of Bengaluru. Top Picks For You French lawmakers enshrine access to abortion in constitution How Pakistani, Chinese hackers tried to attack Pran Pratistha event Congress to decide on LS candidates at CEC meet on Thursday Informant's identity will be kept confidential,"" the investigation agency said in a post on X, formerly known as Twitter. Earlier this week, the ministry of home affairs handed over the investigation into the Rameshwaram Cafe blast to NIA. The blast took place at the café during the busy lunch hour on March 1, injuring at least nine people. Earlier, the Bengaluru Police had filed a case under the rigorous Unlawful Activities (Prevention) Act and Explosive Substances Act regarding the cafe explosion. The explosion occurred at 1pm on March 1, and police identified a suspect in CCTV footage seen placing a bag inside the cafe. The ongoing police investigation suggests that the explosion was caused by an IED device with a timer. Earlier, Karnataka home minister G Parameshwara had assured that the suspect would be arrested soon. Close on the heels of bomb blast at Rameshwaram café, two emails sent to the chief minister, his deputy, the home minister and the city commissioner of police have warned of “more explosions” targeting VVIPs and crowded areas in Karnataka. One of the mails demanded $2.5 million “to stop similar blasts”. While the first email was sent at 2.48pm Saturday, a day after the café blast, the second mail was sent on Monday. Unverified reports claimed that more such mails have been received by government and police. The Saturday email was purportedly sent by a person identifying himself as Shahid Khan and the sender’s ID read, ‘Shahidkhan10786 @protonmail.com’. The email was sent to the CM, deputy CM, home minister, and several police officers, barring the commissioner of police. Dayananda told TOI, “We have written to Proton (an IT firm) to provide us the details of the email ID. Once we get information, we’ll make more progress in investigation.” A senior police officer said Proton is a Swiss-based software company. “We are yet to receive details from them about the multiple email IDs,” he said. The subject line of Saturday’s mail, as per a copy accessed by TOI, read, ‘Explosion Alert 02’. It read, “Alert 01) What are your thoughts on the movie trailer? If you don’t provide us with 2.5 million dollars, we will cause large explosions on buses, trains, taxis, temples, hotels, and public areas throughout Karnataka.” “Alert 02) We want to show you one more trailer. We are going to explode the next one in the Ambari Utsav bus. After the Ambari Utsav blast, we will raise our demands on social media. And will upload screenshots of the mail sent to you on social media. We will tweet information about the next explosion,” the mail read, adding further communication could be had with shahidkhan11786@protonmail.com.","Mar 6, 2024, 16:00 IST","Mar 06, 2024, 17:09 IST"
